GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
421,12001433000000036,영암군,HE0000142871,영암 도갑사 오층석탑,영암 도갑사 오층석탑(보물 제1433호),12,0014330000000,ADDR460000,ADD1468300,4.64,,,,,4.633519,,,,126.66287546972048,34.752821900853334
422,11000050000000036,영암군,HE0000148425,영암 도갑사 해탈문,영암 도갑사 해탈문(국보 제50호),11,0000500000000,ADDR460000,ADD1468300,98.25,,,,,98.170983,,,,126.6621004911067,34.75276329337768
425,12000470000000037,구미시,HE0000145849,구미 도리사 석탑,구미 도리사 석탑(보물 제470호),12,0004700000000,ADDR470000,ADD1471900,10.0,,,,,9.967155,,,,128.3993243250005,36.25537749873849
428,12000210000000037,안동시,HE0000147970,안동 도산서원 전교당,안동 도산서원 전교당(보물 제210호),12,0002100000000,ADDR470000,ADD1471700,123.38,,,,,123.251258,,,,128.84352742181915,36.72735428835449
429,12000223000000032,철원군,HE0000148446,철원 도피안사 삼층석탑,철원 도피안사 삼층석탑(보물 제223호),12,0002230000000,ADDR510000,ADD1517800,3.14,,,,,3.124905,,,,127.2180219484737,38.24043826255729
431,12000413000000037,경주시,HE0000145551,경주 독락당,경주 독락당(보물 제413호),12,0004130000000,ADDR470000,ADD1471300,96.5,,,,,96.283441,,,,129.16012611996285,36.01668183601765
432,13000032000000011,서대문구,HE0000147412,서울 독립문,서울 독립문(사적 제32호),13,0000320000000,ADDR110000,ADD1114100,1647.83,,,,,1646.549342,,,,126.95936640659423,37.57259201127806
1891,13000170000000037,경상북도,,안동 도산서원,안동 도산서원(사적 제170호),13,0001700000000,ADDR470000,ADD1471700,506355.0,,,,,,,,,128.84309434945894,36.72833568381693
1898,18000288000000037,경상북도,,안동 풍산류씨 금계재사,안동 풍산류씨 금계재사(국가민속문화유산 제288호),18,0002880000000,ADDR470000,ADD1471700,1729.0,,,,,,,,,128.6597046544253,36.634047559099734
442,12000248000000022,동구,HE0000148363,대구 동화사 금당암 동·서 삼층석탑,대구 동화사 금당암 동·서 삼층석탑(보물 제248호),12,0002480000000,ADDR270000,ADD1271400,17.26,,,,,17.242688,,,,128.70464966188965,35.99271293193894
443,12000254000000022,동구,HE0000148443,대구 동화사 당간지주,대구 동화사 당간지주(보물 제254호),12,0002540000000,ADDR270000,ADD1271400,1.0,,,,,1.000361,,,,128.7044351244286,35.99209984762219
502,15000031000000037,문경시,HE0000144808,문경 토끼비리,문경 토끼비리(명승 제31호),15,0000310000000,ADDR470000,ADD1472800,43696.94,,,,,43656.746368,,,,128.13080499356815,36.658623520487154
507,11000011000000035,익산시,HE0000146402,익산 미륵사지 석탑,익산 미륵사지 석탑(국보 제11호),11,0000110000000,ADDR520000,ADD1521400,212.69,,,,,212.434072,,,,127.03054022992755,36.01241415215697
459,12000031000000035,남원시,HE0000145818,남원 만복사지 석조대좌,남원 만복사지 석조대좌(보물 제31호),12,0000310000000,ADDR520000,ADD1521900,4.41,,,,,4.417326,,,,127.36729494061251,35.406688056050506
460,12000030000000035,남원시,HE0000145817,남원 만복사지 오층석탑,남원 만복사지 오층석탑(보물 제30호),12,0000300000000,ADDR520000,ADD1521900,11.16,,,,,11.138145,,,,127.36780010691982,35.407022392199536
461,12000466000000038,밀양시,HE0000145845,밀양 만어사 삼층석탑,밀양 만어사 삼층석탑(보물 제466호),12,0004660000000,ADDR480000,ADD1482700,3.36,,,,,3.344835,,,,128.84647628212676,35.45468444584884
462,18000180000000037,안동시,HE0000148050,안동 예안이씨 근재재사,안동 예안이씨 근재재사(국가민속문화유산 제180호),18,0001800000000,ADDR470000,ADD1471700,2464.94,,,,,2462.203386,,,,128.57972093307268,36.61557892748685
497,12000411000000037,경주시,HE0000145549,경주 양동 무첨당,경주 양동 무첨당(보물 제411호),12,0004110000000,ADDR470000,ADD1471300,596.36,,,,,595.634466,,,,129.25269703424595,36.001949105448624
498,13000147000000037,문경시,HE0000148764,문경 조령 관문,문경 조령 관문(사적 제147호),13,0001470000000,ADDR470000,ADD1472800,51630.75,,,,,51580.5023,,,,128.068030017998,36.78551700974001
499,12000051000000037,문경시,HE0000144955,문경 내화리 삼층석탑,문경 내화리 삼층석탑(보물 제51호),12,0000510000000,ADDR470000,ADD1472800,15.75,,,,,15.68518,,,,128.29492327027998,36.692703590606754
501,15000032000000037,문경시,HE0000144810,문경새재,문경새재(명승 제32호),15,0000320000000,ADDR470000,ADD1472800,3821955.5,,,,,3818231.704422,,,,128.06877211449014,36.783089380303906
504,16000421000000050,서귀포시,HE0000148524,문섬·범섬 천연보호구역,문섬·범섬 천연보호구역(천연기념물 제421호),16,0004210000000,ADDR500000,ADD1501300,9196107.0,,,,,9190068.675987,,,,126.54093518950856,33.22305640032879
505,13000139000000031,김포시,HE0000147557,김포 문수산성,김포 문수산성(사적 제139호),13,0001390000000,ADDR410000,ADD1415700,300721.47,,,,,300516.691766,,,,126.53439540370451,37.738314550937474
506,12000236000000035,익산시,HE0000149128,익산 미륵사지 당간지주,익산 미륵사지 당간지주(보물 제236호),12,0002360000000,ADDR520000,ADD1521400,15.14,,,,,15.127998,,,,127.03093922413214,36.01168839903203
508,12000947000000036,해남군,HE0000147265,해남 미황사 대웅전,해남 미황사 대웅전(보물 제947호),12,0009470000000,ADDR460000,ADD1468200,244.25,,,,,243.971864,,,,126.57788115198039,34.38299038678522
464,13000007000000037,경주시,HE0000146911,경주 망덕사지,경주 망덕사지(사적 제7호),13,0000070000000,ADDR470000,ADD1471300,23471.32,,,,,23443.250054,,,,129.2437003439257,35.817031850600706
465,12000069000000037,경주시,HE0000144954,경주 망덕사지 당간지주,경주 망덕사지 당간지주(보물 제69호),12,0000690000000,ADDR470000,ADD1471300,1.36,,,,,1.332613,,,,129.2431619069949,35.816421825334835
466,12000173000000026,울주군,HE0000148704,울주 망해사지 승탑,울주 망해사지 승탑(보물 제173호),12,0001730000000,ADDR310000,ADD1317100,13.01,,,,,12.996187,,,,129.23807787531732,35.53283858512116
471,15000001000000032,강릉시,HE0000147277,명주 청학동 소금강,명주 청학동 소금강(명승 제1호),15,0000010000000,ADDR510000,ADD1511500,23995862.0,,,,,23969806.766147,,,,128.67755050349962,37.788541658712845
475,16000500000000036,목포시,HE0000149220,목포 갓바위 풍화혈,목포 갓바위 풍화혈(천연기념물 제500호),16,0005000000000,ADDR460000,ADD1461100,948.25,,,,,947.809568,,,,126.42562372926824,34.79202407663526
477,13000114000000036,완도군,HE0000148620,완도 묘당도 이충무공 유적,완도 묘당도 이충무공 유적(사적 제114호),13,0001140000000,ADDR460000,ADD1468900,4747.3,,,,,4743.87736,,,,126.86008018460078,34.400546077097204
479,12000356000000034,부여군,HE0000145693,부여 무량사 극락전,부여 무량사 극락전(보물 제356호),12,0003560000000,ADDR440000,ADD1447600,500.63,,,,,499.894004,,,,126.69330160556149,36.31721567432381
480,12000233000000034,부여군,HE0000149125,부여 무량사 석등,부여 무량사 석등(보물 제233호),12,0002330000000,ADDR440000,ADD1447600,2.0,,,,,2.008595,,,,126.6933255677907,36.31689210141958
481,12000185000000034,부여군,HE0000147893,부여 무량사 오층석탑,부여 무량사 오층석탑(보물 제185호),12,0001850000000,ADDR440000,ADD1447600,18.31,,,,,18.314493,,,,126.69332500057814,36.31694780387294
485,13000395000000036,무안군,HE0000148780,무안 도리포 해저유물 매장해역,무안 도리포 해저유물 매장해역(사적 제395호),13,0003950000000,ADDR460000,ADD1468400,7068572.0,,,,,7064186.633566,,,,126.30936808419351,35.15918572843292
495,16000249000000035,무주군,HE0000148729,무주 오산리 구상화강편마암,무주 오산리 구상화강편마암(천연기념물 제249호),16,0002490000000,ADDR520000,ADD1527300,6954.27,,,,,6947.681449,,,,127.6860098285637,36.03883618172445
496,16000322000000035,무주군,HE0000148451,무주 일원 반딧불이와 그 먹이 서식지,무주 일원 반딧불이와 그 먹이 서식지(천연기념물 제322호),16,0003220000000,ADDR520000,ADD1527300,126666.34,,,,,126549.004622,,,,127.80487966799174,35.97588882663684
456,13000349000000035,남원시,HE0000148741,남원 만복사지,남원 만복사지(사적 제349호),13,0003490000000,ADDR520000,ADD1521900,34193.22,,,,,34165.178644,,,,127.3677452788703,35.406453393457745
457,12000032000000035,남원시,HE0000146092,남원 만복사지 당간지주,남원 만복사지 당간지주(보물 제32호),12,0000320000000,ADDR520000,ADD1521900,1.13,,,,,1.13211,,,,127.36767710955893,35.40631360225281
458,12000043000000035,남원시,HE0000146064,남원 만복사지 석조여래입상,남원 만복사지 석조여래입상(보물 제43호),12,0000430000000,ADDR520000,ADD1521900,125.56,,,,,125.484887,,,,127.36776049115228,35.40719333896469
560,18000157000000036,보성군,HE0000147967,보성 이정래 고택,보성 이정래 고택(국가민속문화유산 제157호),18,0001570000000,ADDR460000,ADD1467800,2483.89,,,,,2482.009893,,,,127.18716614016381,34.762787104956736
571,13000503000000033,보은군,HE0000151707,보은 법주사,보은 법주사(사적 제503호),13,0005030000000,ADDR430000,ADD1437200,125888.61,,,,,125771.529067,,,,127.83344428813643,36.542257908390326
486,16000211000000036,무안군,HE0000147308,무안 용월리 백로와 왜가리 번식지,무안 용월리 백로와 왜가리 번식지(천연기념물 제211호),16,0002110000000,ADDR460000,ADD1468400,34020.2,,,,,33997.287816,,,,126.48731991461372,35.011425222502695
488,11000013000000036,강진군,HE0000146404,강진 무위사 극락보전,강진 무위사 극락보전(국보 제13호),11,0000130000000,ADDR460000,ADD1468100,207.19,,,,,206.975679,,,,126.68672520657933,34.73880234318281
